ipv6_plen,ipv6_nxt,ipv6_src,ipv6_dst,frame_len,mqtt_dupflag,mqtt_hdrflags,mqtt_kalive,mqtt_msgid,mqtt_msgtype,mqtt_retain,label,mqtt_len_flag,mqtt_len_null
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
217,6,fd9e,fd9e,271,1,1,0.0,1,1,1,DoS,1,False
399,6,fd9e,fd9e,453,1,2,0.0,2,2,1,DoS,2,False
409,6,fd9e,fd9e,463,1,2,0.0,2,2,1,DoS,2,False
205,6,fd9e,fd9e,259,1,1,0.0,1,1,1,DoS,1,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
641,6,fd9e,fd9e,695,4,4,0.0,4,4,4,DoS,4,False
941,6,fd9e,fd9e,995,5,5,0.0,5,5,5,DoS,5,False
213,6,fd9e,fd9e,267,1,1,0.0,1,1,1,DoS,1,False
48,6,fd9e,fd9e,102,0,4,0.0,4,4,0,DoS,4,False
64,6,fd9e,fd9e,118,0,8,0.0,8,8,0,DoS,8,False
40,6,fd9e,fd9e,94,0,2,0.0,2,2,0,DoS,2,False
209,6,fd9e,fd9e,263,1,1,0.0,1,1,1,DoS,1,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
835,6,fd9e,fd9e,889,5,5,0.0,5,5,5,DoS,5,False
40,6,fd9e,fd9e,94,0,2,0.0,2,2,0,DoS,2,False
210,6,fd9e,fd9e,264,1,1,0.0,1,1,1,DoS,1,False
44,6,fd9e,fd9e,98,0,3,0.0,3,3,0,DoS,3,False
401,6,fd9e,fd9e,455,1,2,0.0,2,2,1,DoS,2,False
788,6,fd9e,fd9e,842,4,4,0.0,4,4,4,DoS,4,False
400,6,fd9e,fd9e,454,1,2,0.0,2,2,1,DoS,2,False
32,6,fd9e,fd9e,86,0,0,0.0,0,0,0,DoS,0,True
218,6,fd9e,fd9e,272,1,1,0.0,1,1,1,DoS,1,False
405,6,fd9e,fd9e,459,1,2,0.0,2,2,1,DoS,2,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
52,6,fd9e,fd9e,106,0,5,0.0,5,5,0,DoS,5,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
777,6,fd9e,fd9e,831,4,4,0.0,4,4,4,DoS,4,False
32,6,fd9e,fd9e,86,0,0,0.0,0,0,0,DoS,0,True
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
294,6,fd9e,fd9e,348,1,2,0.0,2,2,1,DoS,2,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
587,6,fd9e,fd9e,641,3,3,0.0,3,3,3,DoS,3,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
222,6,fd9e,fd9e,276,1,1,0.0,1,1,1,DoS,1,False
48,6,fd9e,fd9e,102,0,4,0.0,4,4,0,DoS,4,False
406,6,fd9e,fd9e,460,1,2,0.0,2,2,1,DoS,2,False
40,6,fd9e,fd9e,94,0,2,0.0,2,2,0,DoS,2,False
401,6,fd9e,fd9e,455,1,2,0.0,2,2,1,DoS,2,False
214,6,fd9e,fd9e,268,1,1,0.0,1,1,1,DoS,1,False
400,6,fd9e,fd9e,454,1,2,0.0,2,2,1,DoS,2,False
207,6,fd9e,fd9e,261,1,1,0.0,1,1,1,DoS,1,False
404,6,fd9e,fd9e,458,1,2,0.0,2,2,1,DoS,2,False
222,6,fd9e,fd9e,276,1,1,0.0,1,1,1,DoS,1,False
412,6,fd9e,fd9e,466,3,3,0.0,3,3,3,DoS,3,False
790,6,fd9e,fd9e,844,4,4,0.0,4,4,4,DoS,4,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
217,6,fd9e,fd9e,271,1,1,0.0,1,1,1,DoS,1,False
210,6,fd9e,fd9e,264,1,1,0.0,1,1,1,DoS,1,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
218,6,fd9e,fd9e,272,1,1,0.0,1,1,1,DoS,1,False
40,6,fd9e,fd9e,94,0,2,0.0,2,2,0,DoS,2,False
407,6,fd9e,fd9e,461,1,2,0.0,2,2,1,DoS,2,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
1460,6,fd9e,fd9e,1514,8,8,0.0,8,8,8,DoS,8,False
408,6,fd9e,fd9e,462,1,2,0.0,2,2,1,DoS,2,False
756,6,fd9e,fd9e,810,4,4,0.0,4,4,4,DoS,4,False
220,6,fd9e,fd9e,274,1,1,0.0,1,1,1,DoS,1,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
388,6,fd9e,fd9e,442,1,2,0.0,2,2,1,DoS,2,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
411,6,fd9e,fd9e,465,1,2,0.0,2,2,1,DoS,2,False
213,6,fd9e,fd9e,267,1,1,0.0,1,1,1,DoS,1,False
384,6,fd9e,fd9e,438,1,2,0.0,2,2,1,DoS,2,False
218,6,fd9e,fd9e,272,1,1,0.0,1,1,1,DoS,1,False
227,6,fd9e,fd9e,281,1,1,0.0,1,1,1,DoS,1,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
215,6,fd9e,fd9e,269,1,1,0.0,1,1,1,DoS,1,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
203,6,fd9e,fd9e,257,1,1,0.0,1,1,1,DoS,1,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
404,6,fd9e,fd9e,458,1,2,0.0,2,2,1,DoS,2,False
224,6,fd9e,fd9e,278,1,1,0.0,1,1,1,DoS,1,False
48,6,fd9e,fd9e,102,0,4,0.0,4,4,0,DoS,4,False
48,6,fd9e,fd9e,102,0,4,0.0,4,4,0,DoS,4,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
44,6,fd9e,fd9e,98,0,3,0.0,3,3,0,DoS,3,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
40,6,fd9e,fd9e,94,0,2,0.0,2,2,0,DoS,2,False
220,6,fd9e,fd9e,274,1,1,0.0,1,1,1,DoS,1,False
32,6,fd9e,fd9e,86,0,0,0.0,0,0,0,DoS,0,True
48,6,fd9e,fd9e,102,0,4,0.0,4,4,0,DoS,4,False
412,6,fd9e,fd9e,466,1,2,0.0,2,2,1,DoS,2,False
40,6,fd9e,fd9e,94,0,2,0.0,2,2,0,DoS,2,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
44,6,fd9e,fd9e,98,0,3,0.0,3,3,0,DoS,3,False
214,6,fd9e,fd9e,268,1,1,0.0,1,1,1,DoS,1,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
226,6,fd9e,fd9e,280,1,1,0.0,1,1,1,DoS,1,False
48,6,fd9e,fd9e,102,0,4,0.0,4,4,0,DoS,4,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
217,6,fd9e,fd9e,271,1,1,0.0,1,1,1,DoS,1,False
228,6,fd9e,fd9e,282,1,1,0.0,1,1,1,DoS,1,False
40,6,fd9e,fd9e,94,0,2,0.0,2,2,0,DoS,2,False
209,6,fd9e,fd9e,263,1,1,0.0,1,1,1,DoS,1,False
223,6,fd9e,fd9e,277,1,1,0.0,1,1,1,DoS,1,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
229,6,fd9e,fd9e,283,1,1,0.0,1,1,1,DoS,1,False
64,6,fd9e,fd9e,118,0,8,0.0,8,8,0,DoS,8,False
202,6,fd9e,fd9e,256,1,1,0.0,1,1,1,DoS,1,False
213,6,fd9e,fd9e,267,1,1,0.0,1,1,1,DoS,1,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
226,6,fd9e,fd9e,280,1,1,0.0,1,1,1,DoS,1,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
217,6,fd9e,fd9e,271,1,1,0.0,1,1,1,DoS,1,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
524,6,fd9e,fd9e,578,3,3,0.0,3,3,3,DoS,3,False
222,6,fd9e,fd9e,276,1,1,0.0,1,1,1,DoS,1,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
105,6,fd9e,fd9e,159,1,1,0.0,1,1,1,DoS,1,False
40,6,fd9e,fd9e,94,0,2,0.0,2,2,0,DoS,2,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
217,6,fd9e,fd9e,271,1,1,0.0,1,1,1,DoS,1,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
220,6,fd9e,fd9e,274,1,1,0.0,1,1,1,DoS,1,False
48,6,fd9e,fd9e,102,0,4,0.0,4,4,0,DoS,4,False
52,6,fd9e,fd9e,106,0,5,0.0,5,5,0,DoS,5,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
220,6,fd9e,fd9e,274,1,1,0.0,1,1,1,DoS,1,False
56,6,fd9e,fd9e,110,0,6,0.0,6,6,0,DoS,6,False
36,6,fd9e,fd9e,90,0,1,0.0,1,1,0,DoS,1,False
