frame_time_delta,ipv6_plen,ipv6_nxt,frame_len,mqtt_dupflag,mqtt_hdrflags,mqtt_kalive,mqtt_msgid,mqtt_msgtype,mqtt_retain,label,mqtt_len_flag,mqtt_len_null,ipv6_src_fd,ipv6_src_fe,ipv6_dst_fd,ipv6_dst_fe,ipv6_dst_ff
1549959000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0002701000,62,6,116,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1386554000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0888981000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1215636000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0274325000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0823027000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0006790000,64,6,118,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0278321000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
3382008000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0773277000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
3094113000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0005732000,62,6,116,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1294709000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2113525000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2128714000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0561446000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0178810000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0128261000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
4003240000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0856765000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1551411000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
4831083000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
3858532000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0004745000,64,6,118,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2149867000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
3629256000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
5429234000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0930953000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2273100000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0337758000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0074560000,64,6,118,1,1,00,0,1,1,0,1,0,00,10,10,00,00
3389058000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0978440000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1688987000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0467643000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0002580000,47,17,101,0,0,00,0,0,0,0,0,1,10,00,10,00,00
0622707000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1360749000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1078431000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1530403000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0595048000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0534930000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0327777000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
3468956000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2615270000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
